"","tmin","tmax","tmean"
"1998-06",11.4,19.4,15.4
"1998-07",15,22.5,18.7
"1998-08",15.6,21.7,18.7
"1998-09",13.1,19.7,16.4
"1998-10",8,14.7,11.4
"1998-11",0,6.6,3.3
"1998-12",-2.6,1.9,-0.9
"1999-01",-7.5,-1.8,-4.6
"1999-02",-10.4,-1.7,-6.1
"1999-03",-4,4.3,0.1
"1999-04",0.3,10,5.2
"1999-05",5.8,16.9,11.4
"1999-06",10.2,19.4,14.8
"1999-07",14.6,22.6,18.6
"1999-08",16.2,24.6,20.4
"1999-09",14,20.4,17.2
"1999-10",5.8,13.5,9.7
"1999-11",0.4,6.9,3.7
"1999-12",-4.9,0.2,-2.5
"2000-01",-6.5,0.1,-3.3
"2000-02",-11.2,-3.9,-7.6
"2000-03",-7.9,0.2,-3.8
"2000-04",-0.8,7.1,3.2
"2000-05",5.2,16.7,10.9
"2000-06",9.7,19.4,14.5
"2000-07",14.2,23.6,18.9
"2000-08",15.5,24.3,19.9
"2000-09",11.6,18.3,15
"2000-10",6.2,12.7,9.5
"2000-11",1.1,9.2,5.1
"2000-12",-4.9,1.1,-1.9
"2001-01",-9.4,-2.9,-6.1
"2001-02",-9.3,-1.5,-5.4
"2001-03",-5.4,2.3,-1.6
"2001-04",-0.1,10.3,5.1
"2001-05",6.3,16.8,11.5
"2001-06",11.1,19.4,15.2
"2001-07",15.4,24.8,20.1
"2001-08",15.4,22.5,18.9
"2001-09",11,17.7,14.4
"2001-10",5.4,12.9,9.2
"2001-11",-0.4,5.9,2.7
"2001-12",-5.5,0,-2.7
"2002-01",-6.7,-0.4,-3.5
"2002-02",-6.7,-0.6,-3.7
"2002-03",-3.8,5.1,0.7
"2002-04",2.2,12.4,7.3
"2002-05",6.9,16.1,11.5
"2002-06",9.6,19.5,14.6
"2002-07",16.1,24.8,20.5
"2002-08",15.6,23.9,19.8
"2002-09",11.3,18.5,14.9
"2002-10",4.9,12.1,8.5
"2002-11",-2.7,2.9,0.1
"2002-12",-5.5,0.4,-2.6
"2003-01",-9.9,-2.6,-6.3
"2003-02",-9.4,-1.3,-5.3
"2003-03",-7,0.3,-3.4
"2003-04",0.7,10.3,5.5
"2003-05",5.8,18,11.9
"2003-06",10.5,19.9,15.2
"2003-07",12.6,20.1,16.4
"2003-08",15.1,22.7,18.9
"2003-09",12.3,18.7,15.5
"2003-10",3.7,11.7,7.7
"2003-11",2.5,9.5,6
"2003-12",-5.1,0.7,-2.2
"2004-01",-9.1,-2.9,-6
"2004-02",-7.3,-0.2,-3.8
"2004-03",-5.5,2.6,-1.4
"2004-04",1,11.4,6.2
"2004-05",7.4,17.5,12.5
"2004-06",11,21.2,16.1
"2004-07",15.7,23.7,19.7
"2004-08",15.4,23.7,19.5
"2004-09",12.9,19.9,16.4
"2004-10",6.2,13,9.6
"2004-11",2,8.8,5.4
"2004-12",-3.1,3.1,0
"2005-01",-8.5,-1.9,-5.2
"2005-02",-7.9,-1.6,-4.7
"2005-03",-5.5,2.1,-1.7
"2005-04",1.5,10.9,6.2
"2005-05",3.4,15,9.2
"2005-06",10.6,22.1,16.4
"2005-07",13.7,23.8,18.8
"2005-08",15.3,25.1,20.2
"2005-09",12.7,22.3,17.5
"2005-10",5.9,15.3,10.6
"2005-11",-1.2,6.2,2.5
"2005-12",-9.5,-3.9,-6.7
"2006-01",-12.6,-2.7,-7.6
"2006-02",-9.6,1.5,-4
"2006-03",-8.1,2.1,-3
"2006-04",-2.5,7.7,2.6
"2006-05",3.5,15.5,9.5
"2006-06",8.6,19.9,14.3
"2006-07",13.2,21.2,17.2
"2006-08",14.7,25.9,20.3
"2006-09",11.1,20.2,15.6
"2006-10",5.6,15.1,10.4
"2006-11",0,8.4,4.2
"2006-12",-5.4,1.5,-1.9
"2007-01",-8.9,-0.3,-4.6
"2007-02",-9,1.7,-3.7
"2007-03",-7.3,2.8,-2.2
"2007-04",-2.3,7.6,2.6
"2007-05",4.1,15,9.6
"2007-06",9.3,19.4,14.3
"2007-07",13.1,20.1,16.6
"2007-08",14.7,25.5,20.1
"2007-09",12.6,22.5,17.5
"2007-10",4.8,14.1,9.5
"2007-11",-1.3,6.8,2.8
"2007-12",-4.3,1.7,-1.3
"2008-01",-9.7,-1.8,-5.8
"2008-02",-12.6,-3.3,-7.9
"2008-03",-6,4.2,-0.9
"2008-04",-0.7,9.8,4.6
"2008-05",4.6,16,10.3
"2008-06",8.6,18.5,13.5
"2008-07",13.2,23.7,18.4
"2008-08",14.6,23.8,19.2
"2008-09",10.8,20.3,15.5
"2008-10",4.5,14.6,9.6
"2008-11",-1.2,6.6,2.7
"2008-12",-5.7,3.6,-1.1
"2009-01",-10.1,-1.1,-5.6
"2009-02",-9.8,1.9,-3.9
"2009-03",-6.7,3.3,-1.7
"2009-04",-1,11,5
"2009-05",5.5,16.4,10.9
"2009-06",9.2,19.8,14.5
"2009-07",14.1,22.1,18.1
"2009-08",14.2,23.6,18.9
"2009-09",10,19.2,14.6
"2009-10",4.1,13.8,9
"2009-11",-0.7,8.2,3.8
"2009-12",-5.4,1.7,-1.8
"2010-01",-9.7,-1.2,-5.5
"2010-02",-7.8,0.6,-3.6
"2010-03",-5.3,5.1,-0.1
"2010-04",-1.9,8.2,3.2
"2010-05",3.9,14.8,9.4
"2010-06",9.4,19.9,14.7
"2010-07",14,23.6,18.8
"2010-08",15.9,26.2,21.1
"2010-09",12.6,20.9,16.8
"2010-10",6.2,14.5,10.4
"2010-11",-1.3,7,2.9
"2010-12",-4.7,2.3,-1.2
"2011-01",-11.5,-5.4,-8.5
"2011-02",-11.2,1.6,-4.8
"2011-03",-9,0,-4.5
"2011-04",-2.9,8.3,2.7
"2011-05",4.4,15.2,9.8
"2011-06",10.3,19.1,14.7
"2011-07",14.8,23.6,19.2
"2011-08",15.3,23.7,19.5
"2011-09",11.4,20.9,16.2
"2011-10",4.6,14.3,9.5
"2011-11",1.2,9.3,5.3
"2011-12",-6.1,-0.3,-3.2
"2012-01",-9.8,-3.7,-6.8
"2012-02",-11.1,-2.1,-6.6
"2012-03",-7.4,2.8,-2.3
"2012-04",-1.6,9.2,3.8
"2012-05",3.9,14.2,9.1
"2012-06",8.9,19.2,14.1
"2012-07",14.1,22.8,18.5
"2012-08",14.7,25.7,20.2
"2012-09",12.4,21.9,17.2
"2012-10",4.1,14.1,9.1
"2012-11",-2.3,5.2,1.5
"2012-12",-8,0.4,-3.8
"2013-01",-11.7,-2.9,-7.3
"2013-02",-12.6,-1.7,-7.2
"2013-03",-5.2,6,0.4
"2013-04",-2.2,8.3,3.1
"2013-05",4.1,16.4,10.3
"2013-06",9.7,20,14.9
"2013-07",13.9,22.3,18.1
"2013-08",14.3,24.4,19.4
"2013-09",10.3,20.5,15.4
"2013-10",6.2,15.3,10.8
"2013-11",-1.8,6.2,2.2
"2013-12",-6.6,-0.4,-3.5
"2014-01",-11.6,-1.6,-6.6
"2014-02",-12.6,-1.3,-7
"2014-03",-7.2,2.7,-2.3
"2014-04",-2.3,9.1,3.4
"2014-05",4.2,15.7,10
"2014-06",9.7,19.5,14.6
"2014-07",13.1,22.8,18
"2014-08",14.8,22.7,18.8
"2014-09",8.7,18.4,13.6
"2014-10",4.4,14.4,9.4
"2014-11",0,8.1,4.1
"2014-12",-7.2,-1.3,-4.3
"2015-01",-10.4,-1.4,-5.9
"2015-02",-11.1,-0.8,-6
"2015-03",-7.2,4.2,-1.5
"2015-04",0.4,11.9,6.2
"2015-05",5.1,18,11.6
"2015-06",8.5,18.8,13.7
"2015-07",13.7,23.3,18.5
"2015-08",14.3,23,18.7
"2015-09",9.9,18.6,14.3
"2015-10",3.3,14.2,8.8
"2015-11",1.9,9.9,5.9
"2015-12",-4.5,3.2,-0.7
"2016-01",-7.8,-1.1,-4.5
"2016-02",-10.6,0.2,-5.2
"2016-03",-5.7,4.4,-0.7
"2016-04",1.2,12.6,6.9
"2016-05",6.4,18.6,12.5
"2016-06",9.6,19.5,14.6
"2016-07",14.5,23.3,18.9
"2016-08",15.1,24.7,19.9
"2016-09",12.8,20.9,16.9
"2016-10",5.8,15.8,10.8
"2016-11",-0.8,8.3,3.8
"2016-12",-6,2.8,-1.6
"2017-01",-10.7,-2,-6.4
"2017-02",-11.4,-1.3,-6.4
